iter	Accuracy	Logloss
714	0.9008164904	0.2900071683
715	0.9006826395	0.2899198516
716	0.9008164904	0.2897429305
717	0.9008164904	0.2895373177
718	0.9009503413	0.2893952646
719	0.9010841922	0.2892292908
720	0.9012180431	0.2890231225
721	0.901351894	0.2888966896
722	0.9014857449	0.2887036581
723	0.9017534467	0.2885975838
724	0.9017534467	0.2884153689
725	0.9020211484	0.2881559347
726	0.9024227011	0.2879658116
727	0.9022888502	0.287816275
728	0.9024227011	0.2876586669
729	0.9026904029	0.2874854058
730	0.9029581047	0.2873418167
731	0.9028242538	0.2872405136
732	0.9028242538	0.2871982604
733	0.9029581047	0.2871045713
734	0.9030919556	0.2869430091
735	0.9029581047	0.2867711858
736	0.9029581047	0.286533777
737	0.9034935082	0.2863100604
738	0.9033596573	0.2862492131
739	0.9033596573	0.2861423873
740	0.9034935082	0.2860257579
741	0.9034935082	0.2858505688
742	0.9032258065	0.2855899256
743	0.9033596573	0.2853645097
744	0.90376121	0.2851530148
745	0.9040289118	0.2850415487
746	0.9038950609	0.2848427004
747	0.9038950609	0.2847155486
748	0.9041627627	0.2846385255
749	0.9041627627	0.2845516008
750	0.9038950609	0.2844254947
751	0.90376121	0.2842468417
752	0.9038950609	0.2841565838
753	0.9040289118	0.2840660646
754	0.90376121	0.2839776694
755	0.9038950609	0.2836877789
756	0.9040289118	0.2834140643
757	0.9040289118	0.2832900823
758	0.9041627627	0.2832462279
759	0.9041627627	0.2831515257
760	0.9040289118	0.2829522526
761	0.9044304645	0.2828771249
762	0.9052335698	0.2825705684
763	0.9053674207	0.2824061305
764	0.9053674207	0.2823701516
765	0.9053674207	0.2822544372
766	0.9053674207	0.2820489225
767	0.9052335698	0.2819661153
768	0.9053674207	0.2819008565
769	0.9053674207	0.2815743008
770	0.9056351225	0.2814906114
771	0.9056351225	0.2813763348
772	0.9056351225	0.2813125465
773	0.9056351225	0.2810691902
774	0.9056351225	0.2809744554
775	0.9059028243	0.2807780906
776	0.9057689734	0.280678258
777	0.9060366751	0.2805915294
778	0.9064382278	0.2804393786
779	0.9064382278	0.2803143182
780	0.9065720787	0.2801882775
781	0.9067059296	0.2801341293
782	0.9065720787	0.2800934773
783	0.9067059296	0.2799158373
784	0.9064382278	0.2798323112
785	0.9064382278	0.2797267272
786	0.9064382278	0.2793830154
787	0.9065720787	0.2793174624
788	0.9069736314	0.2791209996
789	0.9069736314	0.2789785543
790	0.907375184	0.278825848
791	0.9071074823	0.2786148433
792	0.9067059296	0.2783871726
793	0.9069736314	0.2782807389
794	0.9071074823	0.2780017957
795	0.9071074823	0.2779117013
796	0.9071074823	0.2777923923
797	0.9075090349	0.2775287426
798	0.9075090349	0.2774526999
799	0.9071074823	0.2773514621
800	0.907375184	0.2772719228
801	0.9077767367	0.2769668042
802	0.9079105876	0.2768124639
803	0.9075090349	0.2766374055
804	0.9076428858	0.2765363311
805	0.9076428858	0.2763842456
806	0.9077767367	0.2762424212
807	0.9081782894	0.2761507582
808	0.9080444385	0.2758636781
809	0.9080444385	0.2757509375
810	0.9083121403	0.2756165637
811	0.9085798421	0.275305465
812	0.9085798421	0.275146419
813	0.9088475438	0.2750687424
814	0.9088475438	0.2750389396
815	0.9087136929	0.2748394704
816	0.9087136929	0.2746109501
817	0.9085798421	0.2745145487
818	0.9087136929	0.2744008931
819	0.9089813947	0.2742245602
820	0.9089813947	0.2741896923
821	0.9088475438	0.2739775439
822	0.9089813947	0.2737631897
823	0.9089813947	0.2736007942
824	0.9088475438	0.2733949037
825	0.9089813947	0.2733100704
826	0.9091152456	0.2730356859
827	0.9091152456	0.273026732
828	0.9092490965	0.2728527683
829	0.9093829474	0.2727530664
830	0.9091152456	0.2725974517
831	0.9092490965	0.2724631106
832	0.9093829474	0.2723320211
833	0.9093829474	0.2722881339
834	0.9093829474	0.2722094279
835	0.9096506492	0.272007949
836	0.9096506492	0.2719332951
837	0.9100522018	0.2717850003
838	0.9100522018	0.2717216858
839	0.9097845001	0.271660087
840	0.9097845001	0.2715940438
841	0.9101860527	0.2714456184
